"","date","cc_mean_vote_share","cc_win_probability","dgm_mean_vote_share","dgm_win_probability","pdal_mean_vote_share","pdal_win_probability","ssp_mean_vote_share","ssp_win_probability"
"1",2024-04-02,0.230036142727577,0,0.306481848634366,0.342666666666667,0.390136777119754,0.657333333333333,0.073345231518303,0
"2",2024-04-03,0.237366854433732,0,0.286305689594875,0.0453333333333333,0.393040785533764,0.954666666666667,0.0832866704376293,0
"3",2024-04-04,0.239283217502516,0,0.28855653818404,0.333333333333333,0.389904644577458,0.666666666666667,0.082255599735986,0
"4",2024-04-05,0.237882505479487,0,0.279913637327499,0,0.395774271845841,1,0.0864295853471729,0
"5",2024-04-06,0.223277450157914,0.165333333333333,0.286779665911107,0,0.407453989858513,0.834666666666667,0.0824888940724662,0
"6",2024-04-07,0.208743999894778,0.126666666666667,0.296223298061729,0,0.405454628465765,0.873333333333333,0.0895780735777287,0
"7",2024-04-08,0.199730830690418,0,0.299393098292772,0,0.408454450834701,1,0.0924216201821093,0
"8",2024-04-09,0.198679322654855,0,0.304035031232559,0.00933333333333333,0.39667799359653,0.990666666666667,0.100607652516055,0
"9",2024-04-10,0.19911783436815,0,0.308170254113056,0.326666666666667,0.387649138344188,0.673333333333333,0.105062773174607,0
"10",2024-04-11,0.203436210703264,0,0.308419341718539,0.333333333333333,0.386341247781126,0.666666666666667,0.101803199797071,0
"11",2024-04-12,0.210897577335402,0,0.309973632774854,0.0933333333333333,0.379723601934507,0.906666666666667,0.0994051879552373,0
"12",2024-04-13,0.224851455279026,0,0.304035588020878,0.0173333333333333,0.377607340083763,0.982666666666667,0.0935056166163329,0
"13",2024-04-14,0.213804112718076,0,0.290296804618327,0.036,0.391622639508149,0.964,0.104276443155449,0
"14",2024-04-15,0.217231371380796,0,0.27886352688834,0,0.397484547455668,1,0.106420554275196,0
"15",2024-04-16,0.214494378621567,0,0.284786078232685,0,0.394553805131133,1,0.106165738014615,0
"16",2024-04-17,0.207397599933084,0,0.280414895783918,0,0.402910880130394,1,0.109276624152604,0
