"","date","province","cc_mean_vote_share","cc_win_probability","dgm_mean_vote_share","dgm_win_probability","pdal_mean_vote_share","pdal_win_probability","ssp_mean_vote_share","ssp_win_probability"
"1",2024-04-02,"Amperville",0.0493062715405217,0,0.185544716037759,0,0.765149012421719,1,0,0
"2",2024-04-03,"Amperville",0.0534392698932551,0,0.187169089403716,0,0.759391640703029,1,0,0
"3",2024-04-04,"Amperville",0.0686051727371756,0,0.217234876451796,0,0.714159950811028,1,0,0
"4",2024-04-05,"Amperville",0.0641232473470206,0,0.212632903279951,0,0.723243849373029,1,0,0
"5",2024-04-06,"Amperville",0.0630274709436264,0,0.20247774277473,0,0.734494786281644,1,0,0
"6",2024-04-07,"Amperville",0.0563154542166412,0,0.233415667548034,0,0.710268878235325,1,0,0
"7",2024-04-08,"Amperville",0.0651706434549645,0,0.251027362317385,0,0.683801994227651,1,0,0
"8",2024-04-09,"Amperville",0.065326564867087,0,0.284418887991188,0,0.650254547141724,1,0,0
"9",2024-04-10,"Amperville",0.0684514934616371,0,0.240986546146689,0,0.690561960391674,1,0,0
"10",2024-04-11,"Amperville",0.0519099888640731,0,0.257384981150263,0,0.690705029985664,1,0,0
"11",2024-04-12,"Amperville",0.0556984973406488,0,0.279112563989417,0,0.665188938669935,1,0,0
"12",2024-04-13,"Amperville",0.050031154742327,0,0.273047315963408,0,0.676921529294265,1,0,0
"13",2024-04-14,"Amperville",0.0351737052868167,0,0.197515015401901,0,0.767311279311282,1,0,0
"14",2024-04-15,"Amperville",0.0281818055530623,0,0.177752337528222,0,0.794065856918716,1,0,0
"15",2024-04-16,"Amperville",0.0237276536492715,0,0.191105292993225,0,0.785167053357504,1,0,0
"16",2024-04-17,"Amperville",0.0168361389680044,0,0.193876558030377,0,0.789287303001619,1,0,0
"17",2024-04-18,"Amperville",0.0163330428648273,0,0.164813728921584,0,0.818853228213589,1,0,0
"18",2024-04-19,"Amperville",0.0206171051291699,0,0.196972106179311,0,0.782410788691519,1,0,0
"19",2024-04-20,"Amperville",0.0193367319532686,0,0.198055690186078,0,0.782607577860653,1,0,0
"20",2024-04-21,"Amperville",0.013732339071298,0,0.194401875988091,0,0.791865784940611,1,0,0
"21",2024-04-22,"Amperville",0.0225704310506962,0,0.214863060802703,0,0.762566508146601,1,0,0
"22",2024-04-23,"Amperville",0.0196618618210439,0,0.219707259045692,0,0.760630879133264,1,0,0
"23",2024-04-24,"Amperville",0.0300217513942162,0,0.256296963106684,0,0.7136812854991,1,0,0
"24",2024-04-25,"Amperville",0.0356851065781129,0,0.31065186216845,0.128,0.653663031253437,0.872,0,0
"25",2024-04-26,"Amperville",0.042901871067691,0,0.296247782671177,0,0.660850346261132,1,0,0
"26",2024-04-27,"Amperville",0.0378447168001156,0,0.310026277383824,0,0.65212900581606,1,0,0
"27",2024-04-28,"Amperville",0.0253930290041413,0,0.236184221363045,0,0.738422749632814,1,0,0
"28",2024-04-29,"Amperville",0.0218093828497425,0,0.170815463078772,0,0.807375154071486,1,0,0
"29",2024-04-30,"Amperville",0.0227557337004535,0,0.209966866300135,0,0.767277399999411,1,0,0
"30",2024-05-01,"Amperville",0.0181779465100321,0,0.191471217451351,0,0.790350836038616,1,0,0
"31",2024-05-02,"Amperville",0.0157287083706013,0,0.168966293971418,0,0.815304997657981,1,0,0
"32",2024-05-03,"Amperville",0.0149344865007292,0,0.155787419575155,0,0.829278093924115,1,0,0
"33",2024-05-04,"Amperville",0.0155300595953675,0,0.152863632734419,0,0.831606307670213,1,0,0
"34",2024-05-05,"Amperville",0.0181249238202794,0,0.162987746474628,0,0.818887329705092,1,0,0
"35",2024-05-06,"Amperville",0.0157058886265912,0,0.155119562602281,0,0.829174548771127,1,0,0
"36",2024-05-07,"Amperville",0.0204480323255929,0,0.205639918716513,0,0.773912048957894,1,0,0
"37",2024-05-08,"Amperville",0.0260036808708003,0,0.239689738695722,0,0.734306580433478,1,0,0
"38",2024-05-09,"Amperville",0.0289935616480159,0,0.284998974320415,0.333333333333333,0.686007464031569,0.666666666666667,0,0
"39",2024-05-10,"Amperville",0.0314169166604367,0,0.272196546089234,0.0266666666666667,0.69638653725033,0.973333333333333,0,0
"40",2024-05-11,"Amperville",0.0267468696589683,0,0.309074193728982,0.0413333333333333,0.66417893661205,0.958666666666667,0,0
"41",2024-05-12,"Amperville",0.0240905351338814,0,0.263566220150462,0,0.712343244715657,1,0,0
"42",2024-05-13,"Amperville",0.0206387176520737,0,0.285287504738481,0,0.694073777609445,1,0,0
"43",2024-05-14,"Amperville",0.0165123163823222,0,0.321385756134012,0.06,0.662101927483665,0.94,0,0
"44",2024-05-15,"Amperville",0.0148358867253998,0,0.317077693958481,0,0.668086419316119,1,0,0
"45",2024-05-16,"Amperville",0.0171766838589125,0,0.275771126628855,0,0.707052189512233,1,0,0
"46",2024-05-17,"Amperville",0.0125657239702817,0,0.20237404870255,0,0.785060227327168,1,0,0
"47",2024-05-18,"Amperville",0.0138187569059685,0,0.213822070667431,0,0.7723591724266,1,0,0
"48",2024-05-19,"Amperville",0.0165118351421163,0,0.190577592476367,0,0.792910572381517,1,0,0
"49",2024-05-20,"Amperville",0.0172056472551373,0,0.232147675579178,0,0.750646677165685,1,0,0
"50",2024-05-21,"Amperville",0.0153413434755458,0,0.301502825452014,0.333333333333333,0.68315583107244,0.666666666666667,0,0
"51",2024-05-22,"Amperville",0.0188429921014876,0,0.327778268737726,0.333333333333333,0.653378739160786,0.666666666666667,0,0
"52",2024-05-23,"Amperville",0.0210752940245875,0,0.355682952309875,0.333333333333333,0.623241753665538,0.666666666666667,0,0
"53",2024-05-24,"Amperville",0.0193101862165373,0,0.399821930666786,0.333333333333333,0.580867883116676,0.666666666666667,0,0
"54",2024-05-25,"Amperville",0.0193236896682239,0,0.40859979338178,0.333333333333333,0.572076516949996,0.666666666666667,0,0
"55",2024-05-26,"Amperville",0.0166006825506843,0,0.388223730726148,0.333333333333333,0.595175586723168,0.666666666666667,0,0
"56",2024-05-27,"Amperville",0.018241130187631,0,0.419603617174276,0.333333333333333,0.562155252638093,0.666666666666667,0,0
"57",2024-05-28,"Amperville",0.0190557007690512,0,0.406832551750577,0.333333333333333,0.574111747480372,0.666666666666667,0,0
"58",2024-05-29,"Amperville",0.0184272118043619,0,0.383698293149315,0.333333333333333,0.597874495046323,0.666666666666667,0,0
"59",2024-05-30,"Amperville",0.0197410029369027,0,0.380150924796762,0.333333333333333,0.600108072266335,0.666666666666667,0,0
"60",2024-05-31,"Amperville",0.018515707589465,0,0.386263211085979,0.333333333333333,0.595221081324556,0.666666666666667,0,0
"61",2024-06-01,"Amperville",0.017897119563985,0,0.37217878129397,0.333333333333333,0.609924099142045,0.666666666666667,0,0
"62",2024-06-02,"Amperville",0.0146377968063767,0,0.346534627558582,0.333333333333333,0.638827575635041,0.666666666666667,0,0
"63",2024-06-03,"Amperville",0.0175355547844124,0,0.306426110935333,0.333333333333333,0.676038334280255,0.666666666666667,0,0
"64",2024-06-04,"Amperville",0.0212231216686128,0,0.251685155351366,0.12,0.727091722980021,0.88,0,0
"65",2024-06-05,"Amperville",0.0250231478879845,0,0.277004334036195,0.333333333333333,0.69797251807582,0.666666666666667,0,0
"66",2024-06-06,"Amperville",0.0180900292786833,0,0.286373641891334,0.333333333333333,0.695536328829982,0.666666666666667,0,0
"67",2024-06-07,"Amperville",0.0313839279483016,0,0.309847514152526,0.333333333333333,0.658768557899173,0.666666666666667,0,0
"68",2024-06-08,"Amperville",0.0226002828281943,0,0.304253300145243,0.333333333333333,0.673146417026563,0.666666666666667,0,0
"69",2024-06-09,"Amperville",0.0182664198246718,0,0.294543409534984,0.333333333333333,0.687190170640345,0.666666666666667,0,0
"70",2024-06-10,"Amperville",0.0184683712614698,0,0.278187886305122,0.333333333333333,0.703343742433409,0.666666666666667,0,0
"71",2024-06-11,"Amperville",0.019494476526485,0,0.246601503499234,0,0.733904019974281,1,0,0
"72",2024-06-12,"Amperville",0.0241639477930432,0,0.236039672792712,0,0.739796379414245,1,0,0
"73",2024-06-13,"Amperville",0.0217089806167991,0,0.252196655497465,0,0.726094363885736,1,0,0
